symbol,avg_return,volatility,sharpe_ratio
AAPL,0.0011980042319726073,0.012247293131545137,0.09781787853896702
MSFT,-0.0005776673273561949,0.017048619439237106,-0.03388352525640308
TSLA,-0.0036311178468463002,0.027157835906283637,-0.13370424136063622
