Date,Close,High,Low,Open,Volume,symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT
2026-03-16,252.82000732421875,253.88999938964844,249.8800048828125,252.11000061035156,32074200.0,AAPL,,,,,,,,,,
2026-03-17,254.22999572753906,255.1300048828125,252.17999267578125,252.9600067138672,32361600.0,AAPL,,,,,,,,,,
2026-03-18,249.94000244140625,254.94000244140625,249.0,252.6300048828125,35757900.0,AAPL,,,,,,,,,,
2026-03-19,248.9600067138672,251.8300018310547,247.3000030517578,249.39999389648438,34864100.0,AAPL,,,,,,,,,,
2026-03-20,247.99000549316406,249.1999969482422,246.0,247.97999572753906,88331100.0,AAPL,,,,,,,,,,
2026-03-23,251.49000549316406,254.60000610351562,250.27999877929688,253.97000122070312,40546100.0,AAPL,,,,,,,,,,
2026-03-24,251.63999938964844,254.8300018310547,249.5500030517578,250.35000610351562,45152300.0,AAPL,,,,,,,,,,
2026-03-25,252.6199951171875,255.0,251.60000610351562,254.10000610351562,28476700.0,AAPL,,,,,,,,,,
2026-03-26,252.88999938964844,257.0,250.77000427246094,252.1199951171875,41796700.0,AAPL,,,,,,,,,,
2026-03-27,248.8000030517578,255.49000549316406,248.07000732421875,253.89999389648438,47900000.0,AAPL,,,,,,,,,,
2026-03-30,246.6300048828125,250.8699951171875,245.50999450683594,250.07000732421875,39446200.0,AAPL,,,,,,,,,,
2026-03-31,253.7899932861328,255.47999572753906,247.10000610351562,247.91000366210938,49598100.0,AAPL,,,,,,,,,,
2026-04-01,255.6300048828125,256.17999267578125,253.3300018310547,254.0800018310547,40059400.0,AAPL,,,,,,,,,,
2026-04-02,255.9199981689453,256.1300048828125,250.64999389648438,254.1999969482422,31289400.0,AAPL,,,,,,,,,,
2026-04-06,258.8599853515625,262.1600036621094,256.4599914550781,256.510009765625,29329900.0,AAPL,,,,,,,,,,
2026-04-07,253.5,256.20001220703125,245.6999969482422,256.1600036621094,62148000.0,AAPL,,,,,,,,,,
2026-04-08,258.8999938964844,259.75,256.5299987792969,258.45001220703125,41032800.0,AAPL,,,,,,,,,,
2026-04-09,260.489990234375,261.1199951171875,256.07000732421875,259.0,28121600.0,AAPL,,,,,,,,,,
2026-04-10,260.4800109863281,262.19000244140625,259.0199890136719,259.9800109863281,31291500.0,AAPL,,,,,,,,,,
2026-04-13,259.20001220703125,260.17999267578125,256.6600036621094,259.7300109863281,35196600.0,AAPL,,,,,,,,,,
2026-04-14,259.2900085449219,261.92999267578125,257.1900939941406,259.1000061035156,19496545.0,AAPL,,,,,,,,,,
2026-03-16,,,,,,TSLA,395.55999755859375,403.7300109863281,394.4200134277344,396.2200012207031,58068300.0,,,,,
2026-03-17,,,,,,TSLA,399.2699890136719,400.1199951171875,393.0,395.69000244140625,46890500.0,,,,,
2026-03-18,,,,,,TSLA,392.7799987792969,403.07000732421875,392.30999755859375,399.0,50853100.0,,,,,
2026-03-19,,,,,,TSLA,380.29998779296875,387.2699890136719,378.7300109863281,387.2699890136719,67078300.0,,,,,
2026-03-20,,,,,,TSLA,367.9599914550781,379.8900146484375,364.4599914550781,379.8500061035156,78628600.0,,,,,
2026-03-23,,,,,,TSLA,380.8500061035156,385.3299865722656,372.7300109863281,373.0899963378906,74606000.0,,,,,
2026-03-24,,,,,,TSLA,383.0299987792969,387.4800109863281,376.30999755859375,376.55999755859375,60004900.0,,,,,
2026-03-25,,,,,,TSLA,385.95001220703125,396.2300109863281,385.010009765625,389.989990234375,55157300.0,,,,,
2026-03-26,,,,,,TSLA,372.1099853515625,384.44000244140625,371.8699951171875,381.6000061035156,55522900.0,,,,,
2026-03-27,,,,,,TSLA,361.8299865722656,369.8599853515625,359.4700012207031,369.69000244140625,62065700.0,,,,,
2026-03-30,,,,,,TSLA,355.2799987792969,367.2900085449219,352.1400146484375,365.8599853515625,67954400.0,,,,,
2026-03-31,,,,,,TSLA,371.75,373.3299865722656,361.0,361.510009765625,75534900.0,,,,,
2026-04-01,,,,,,TSLA,381.260009765625,383.1400146484375,374.0799865722656,378.6300048828125,58683800.0,,,,,
2026-04-02,,,,,,TSLA,360.5899963378906,370.2799987792969,359.0299987792969,364.20001220703125,83031200.0,,,,,
2026-04-06,,,,,,TSLA,352.82000732421875,367.7200012207031,346.6400146484375,362.5899963378906,77697600.0,,,,,
2026-04-07,,,,,,TSLA,346.6499938964844,348.0199890136719,337.239990234375,346.44000244140625,74515400.0,,,,,
2026-04-08,,,,,,TSLA,343.25,364.5,339.6700134277344,363.7900085449219,78838600.0,,,,,
2026-04-09,,,,,,TSLA,345.6199951171875,348.8800048828125,337.25,343.1499938964844,62164000.0,,,,,
2026-04-10,,,,,,TSLA,348.95001220703125,350.3599853515625,342.739990234375,346.2900085449219,51336000.0,,,,,
